"id","mesor_mean","mesor_median","mesor_ci_width","si_mean","si_median","si_ci_width","co_mean","co_median","co_ci_width","amp_mean","amp_median","amp_ci_width","sigma2_mean","sigma2_median","sigma2_ci_width","log_sigma_mean","log_sigma_median","log_sigma_ci_width","phi_mean","phi_median","phi_ci_width","phi.begins6_mean","phi.begins6_median","phi.begins6_ci_width","phi.begins12_mean","phi.begins12_median","phi.begins12_ci_width","phi_circ_mean","phi_circ_median","phi_circ_ci_width","phi.begins6_circ_mean","phi.begins6_circ_median","phi.begins6_circ_ci_width","phi.begins12_circ_mean","phi.begins12_circ_median","phi.begins12_circ_ci_width"
153,1.3289956744375,1.300105,8.45747175,-0.0770705911895334,-0.0751963,8.097769,2.29660014590685,2.294935,7.27878125,3.11428592041809,2.96520333057017,6.1986217369097,0.40457515966503,0.397553406599334,0.27216316055628,-0.459650580533333,-0.461213,0.332382525,3.27056931612382,4.33066707515052,6.23746263999765,4.37326833753384,4.61728688422668,4.764527307212,3.04332744751416,3.10270024632825,4.38249577646556,6.18779820330832,6.23919623030406,4.3025555014094,4.61700187651342,4.66839990350917,4.3025555014094,3.04620554971853,3.09760357671427,4.3025555014094
154,3.49620844316333,3.512635,11.717838,0.438416770911333,0.278257,8.80072249999999,-1.37132676200667,-1.358705,10.1649265,3.07813233071687,2.79094072557244,6.90236475796416,1.25009567893484,1.23119223915276,0.912247661463331,0.1030358557174,0.1039915,0.3623567025,2.92377726682018,2.95805143056651,5.95673683411191,2.48919028307359,1.77345604705507,5.91277481200907,3.50497190773429,3.99105094278824,6.20664189197497,2.78702429030055,2.86216326259472,5.73168681025252,1.21622796350566,1.29136693579982,5.73168681025252,5.92861694389035,6.00375591618451,5.73168681025252
155,-3.81553866759967,-3.85766,11.35818825,-0.508133038457333,-0.363683,8.82456875,2.88578640193667,2.92258,9.82935775,3.88873674142784,3.71852924744827,8.02334338735356,1.06336058248561,1.04297144740784,0.756145412259981,0.0227041580422,0.0210369,0.349181775,3.65039371227577,5.00133670632606,6.23397222462181,4.20855000706355,4.49402669949485,4.93218867171427,2.96029052603721,3.01063526319611,4.87652089170619,6.06793520871681,6.13796811050469,4.89014248320871,4.49713888192191,4.56717178370979,4.89014248320871,2.92634255512702,2.99637545691489,4.89014248320871
156,-5.2092031852755,-5.24381,12.8299575,-1.04026822856969,-0.7493955,9.06960124999999,3.106812396175,3.065345,10.575696,4.21617960573377,3.99586653145177,8.56760322824818,1.32554239052773,1.30122743535337,0.942630150314051,0.132854181508367,0.131654,0.3519880475,4.00789643647152,5.28541023295256,6.24133879861981,4.17440084711178,4.40517317301543,4.14532675481729,2.78686409177629,2.88857799575951,4.3220241742464,5.92632525934836,6.01387282146155,4.08926625042913,4.35552893255346,4.44307649466665,4.08926625042913,2.78473260575857,2.87228016787176,4.08926625042913
157,3.39160753865967,3.29932,11.767396,0.312468986887333,0.06733325,9.230842,1.33096433696283,1.25078,9.714944,2.99141730233063,2.63937514050377,7.68176240676879,1.07470360067389,1.05510870591647,0.748758120375527,0.0284351801281,0.0268219,0.342651,3.01538803776501,2.89212968568482,6.21092649878995,3.81439976932801,4.4280434555981,5.85230820079139,3.22692194310672,3.19765134898875,5.91787145758425,0.149741957882463,0.0897168571880417,5.87266636508033,4.86213093826715,4.80210583757273,5.87266636508033,3.29133461147226,3.23130951077783,5.87266636508033
158,12.2946841745,12.2648,13.0527215,0.122017044669,-0.0010742675,9.2460605,2.10348878451483,2.10431,10.3109775,3.45890628746311,3.17270064845655,7.81679010550983,1.48114416484006,1.45315782765454,0.991655520319515,0.189228687522167,0.1868695,0.32999705,3.14777050812222,3.14359529095762,6.21884959878873,4.07139874827762,4.54563382114525,5.62171015358644,3.14462891546863,3.14112275229614,5.70978140917804,0.0164191317896672,6.282552094864,5.70932575586342,4.72880811217436,4.71175576806911,5.70932575586342,3.15801178537946,3.14095944127421,5.70932575586342
159,4.51359033636333,4.4766,12.504465,1.47211348981083,0.886774,9.62322175,0.566167707423,0.554498,10.203548,3.26730807831499,2.89342156689371,7.90962305017035,1.3512766692202,1.32475164345112,0.901095441843941,0.14339529654965,0.1406125,0.329443615,2.41295869696892,1.98068578467415,6.1412120326325,3.51775211348133,4.39266954267091,6.04744330510195,3.7743155135245,3.99121735996903,6.08061888392904,1.23867618923857,1.2050163566287,5.09012937174895,5.95106516962326,5.91740533701339,5.09012937174895,4.38026884282837,4.3466090102185,5.09012937174895
160,-3.14762964804983,-3.248075,10.273379,-0.173849293989282,-0.188098,9.1798505,3.513935452979,3.43891,9.47742395,4.22728284042036,4.00891500775774,8.44318031367184,0.653812529280835,0.642170136709698,0.454655382894929,-0.220357540694167,-0.221451,0.34416298,3.4194006037941,4.98149479520931,6.24477847453823,4.4655509574395,4.62452680910658,3.91130130558345,3.02879591719777,3.08396367891258,3.31856890961053,6.17915348552467,6.22259007827159,3.33948141141507,4.60835715872977,4.6517937514767,3.33948141141507,3.03756083193487,3.0809974246818,3.33948141141507
161,18.5358934333333,18.60575,9.3094925,-0.596865753819333,-0.31316,8.5205245,-0.985084201582667,-0.94862,8.325877,2.72486979306896,2.41732301397228,6.35162989893667,0.47614307313833,0.466077662992889,0.371347114456447,-0.3807075219,-0.3817015,0.384313275,3.3008972087014,3.40327217797695,5.93062636127168,2.7155137775825,2.37169311479078,5.69985531784493,2.7469297041184,2.31801242626934,6.16004796325211,3.5874007241841,3.59484997800108,5.82311813430844,2.0166043973892,2.02405365120618,5.82311813430844,0.445808070594308,0.453257324411282,5.82311813430844
162,-44.19944715,-44.16575,9.77038750000001,0.0244064183551666,0.0233518,9.7521785,-1.07802242284098,-1.08248,8.99385975,3.03466274274752,2.76695886378553,6.57251569371604,0.60466482326583,0.590965877612289,0.428506345031072,-0.259578766995,-0.2629985,0.3467014775,2.99749610392016,3.12777659197345,5.74843674606637,2.70428078958511,2.20858900608606,5.96854313370289,3.03205362310965,3.19346002583389,6.14258375892149,3.03303473706666,3.12464486803356,5.74242382805388,1.46223841027177,1.55384854123867,5.74242382805388,6.17462739065646,6.26623752162336,5.74242382805388
