id,group,mu_i,phi_i,rho_i,sd_i,intercept_hat,phi_hat_brms,logsigma_hat,sigma_hat_brms,mu_hat_brms
136,low_AR,38.58379268933594,-0.007986526671178822,-0.0775086781209441,0.9254189934638409,30.113200272821533,0.2178737124260004,0.02203815176109014,1.0222827856150556,38.50171097844915
137,low_AR,78.1216889298575,0.0033508945675715506,0.031973803676829796,1.0324904574971487,47.61962259945548,0.3898537177709505,0.11591794854155335,1.1229037324642654,78.04623905186564
138,low_AR,68.36184316609341,0.004879199514303195,0.0716225912817025,1.074249836293696,43.144877978403684,0.3675292737722503,0.16685046540590331,1.1815775653756821,68.21640305114678
139,low_AR,52.28561545394597,0.005102719259643358,0.024339432604632633,1.0246380544343447,36.84277018879819,0.29546101686621784,0.13384919358889835,1.143220401678231,52.29344446622659
140,low_AR,44.96940470902287,0.016562159761868738,-0.17375061469521477,0.8405064814888416,32.45056669742458,0.2787585761274504,-0.0746457237345135,0.9280722220544131,44.99265519607608
141,low_AR,54.2803968548063,0.06734613107250052,0.1166565230556107,1.123733386885895,33.28223227027603,0.3878603656327004,0.17908210280567616,1.1961189448578475,54.37032729415758
142,low_AR,48.50400633783906,-0.01648504013923396,0.10534629776003632,1.1110953135592043,32.68271173248735,0.32588758457495043,0.22573479821246156,1.2532432588502782,48.48258389052195
143,low_AR,49.1720164460041,-0.03583012451444341,-0.03533147451257034,0.965285395715134,38.13531447184137,0.22559812390920048,0.0567275731594723,1.0583674434191033,49.24486322831423
144,low_AR,50.42225777948476,-0.002100883575701013,0.08027537413565869,1.0835854179919848,35.492117628782395,0.2952762244934754,0.1974760638526618,1.2183239026401844,50.36316193997033
145,low_AR,49.529487420113114,0.04112919003411751,-0.10924525342911248,0.8965105182549785,33.63199021583277,0.3209720000404504,-0.03655200758693944,0.9641079516643318,49.52960734732038
146,low_AR,50.64549670332144,0.013820705797199183,0.3492127759748086,1.4179508641237262,34.40390370853619,0.32002896245395035,0.42747854491904125,1.533386280388684,50.59613102448684
147,low_AR,51.63736945508921,-0.026691572344240216,0.05460500745001662,1.0561233714133575,36.60600267015797,0.2899254888459503,0.16766261006697736,1.1825375670644036,51.55234006451522
148,low_AR,52.70152756731907,0.013101603183790125,0.2897338101260511,1.3360717919043459,35.775538716513125,0.32042452145832545,0.341285791144041,1.4067552216023327,52.64395177013323
149,low_AR,41.39117277759101,-0.009309527662341591,0.06579237967401075,1.0680049546087487,28.937699379269674,0.30096501163645045,0.116153238637005,1.1231679716758756,41.396639454361534
150,low_AR,39.11857824541915,0.016552077478933572,0.4534881731552045,1.5737922821611026,29.53751103636566,0.24540490704905038,0.5672608529190253,1.7634301354378341,39.14352387431396
151,low_AR,32.967833972574965,-0.0715344914700393,0.06384546843568416,1.0659276665639092,28.297589207040083,0.14194595113427536,0.2174422705620227,1.2428936758832285,32.978795734892365
152,low_AR,55.53977687028039,-0.07422772128857723,0.2511231598165642,1.2854683926338204,40.799675813125866,0.2653062996699504,0.3375962691440595,1.401574530277827,55.53290547448175
153,low_AR,53.62040421074302,0.02297069344710189,-0.3993757986719224,0.6707385913132812,36.37928000827744,0.32158613903027533,-0.29666674408095517,0.7432916774428052,53.62402229853751
154,low_AR,54.926785108035055,-9.224481073233288e-5,0.28534441666873916,1.330220099208546,36.585331156129186,0.3342149191772005,0.3907421650690326,1.4780773643032918,54.95066232321668
155,low_AR,48.83382136648099,-0.10467794424423026,-0.12945032413762805,0.8785782314635436,35.48416944335076,0.2741347304217253,-0.07377310664321524,0.9288824271853476,48.885338547699
156,low_AR,73.42901098657373,-0.003288347867473688,-0.7393703178280503,0.47741444025523094,45.84113964649724,0.3752908557870753,-0.6587654105809486,0.5174898277378883,73.3799722177155
157,low_AR,42.54775995678327,-0.008534070029544932,0.007685262408188931,1.00771486983568,31.576449335213013,0.2579634888188504,0.10049004125928995,1.1057126301438636,42.55376771818229
158,low_AR,38.60452024419651,-0.06439310268157394,-0.3478701734977926,0.7061905525125737,30.44254749887936,0.21207617209197532,-0.23232025296345427,0.7926922206195492,38.63640928299601
159,low_AR,40.72132079072886,-0.026594181836833354,0.25189153925588104,1.2864564996885688,31.105859052697145,0.23656545121052536,0.33962895441904273,1.4044263876696337,40.74463109119119
160,low_AR,42.95672907189566,-0.03243495658606269,-0.8534678975978357,0.4259352678775899,31.688303062398504,0.2629454262972004,-0.754406783830956,0.4702895153428159,42.993157078184126
161,high_AR,53.76665259410606,0.4722929039462879,-0.87129383714307,0.4184098446863851,24.436700085639323,0.5460021373299504,-0.7828570683309488,0.45709818317440676,53.82558398385918
162,high_AR,62.18647545602545,0.46985440422232144,-0.43608018085399036,0.6465658816524561,27.35606209040122,0.5591505045699503,-0.34330358447595444,0.7094228091137087,62.05306430875081
163,high_AR,30.560866774215366,0.5114375649310713,0.5011762096264457,1.650661653454784,18.25960442658676,0.40419464771745045,0.5829979381690524,1.7914008976888482,30.646929163414907
164,high_AR,57.01245996906365,0.5795447580340736,0.1188568614438289,1.1262087028628813,22.11362004994124,0.6108936733924504,0.1293645715925944,1.1381049692819551,56.831818291777374
165,high_AR,51.01307819622467,0.3307345258493459,0.5165794926010826,1.6762840902216591,26.663700439387757,0.4764302689674503,0.5218170331690395,1.685086728111445,50.92674167164584
166,high_AR,49.66890666239984,0.5279100087951971,1.0104122488426355,2.7467331191959814,20.542266965867398,0.5861271281424505,1.0575710339190536,2.879368599764063,49.63424365957917
167,high_AR,59.43595624132328,0.41473023952042304,0.010470894688386056,1.0105259063456062,29.038887107830107,0.5117924900424504,0.11699240563918423,1.1241108927544041,59.4806235372231
168,high_AR,49.214300514218444,0.3707916687442022,-0.010863689207902538,0.9891951075545008,25.306071439460496,0.4865044932674505,0.05730154100453433,1.0589750866670475,49.28197249570284
169,high_AR,43.16225976826479,0.3059203338123204,0.10768714866202236,1.1136992685723135,25.1623499888416,0.41723887049700037,0.15792579900525539,1.1710792962350274,43.177811139018466
170,high_AR,57.96966406267445,0.49159686391703605,-0.023127645172558626,0.9771377488959726,26.178006023402958,0.5487169140924503,0.06817198972078664,1.0705494161411782,58.00794853801768
171,high_AR,41.240652657144565,0.5868994044217751,0.3822063710808105,1.4655144937377074,20.05940125794957,0.5142829435736505,0.451955161169046,1.571381488089069,41.29853171213728
